mal_id,aired_from,aired_to,duration,episodes,genres,popularity,premiered,rank,rating,score,scored_by,source,status,studios,synopsis,title,title_english,type
36775,2017-11-09,2018-01-24,20 min ,12,"['Drama', 'Romance', 'Slice of Life']",5791,,2546,PG-13 - Teens 13 or older,7.25,1099,Original,Finished Airing,"[{'mal_id': 1807, 'name': '2:10 AM Animation'}]","Ten years ago, Jiang Xiaobai lost all his memories due to a traumatic event he no longer remembers. Now working as a trainee in Editorial Office No.2 of Wen Zheng Magazine, a literary periodical based in Chongqing, he is excited to begin a new chapter of his life: in two days, he finishes his probationary period and officially starts his job as an editor. He gives no thought to his recurring dream of a girl whose face can never clearly see. That evening, one of Jiang Xiaobai's seniors passes him the task of rushing to the airport to escort the idiosyncratic rising author Tong Li, who has returned from America to launch her first serialized novel in Chinese. As punishment for this senior reneging on his own duties, Jiang Xiaobai replaces him as Tong Li's new editor. Though they get off to a rough start, Tong Li soon recognizes Jiang Xiaobai as someone precious from her high school days. Before they know it, the wheels of fate are set in motion, as Jiang Xiaobai slowly uncovers clues about a long-forgotten girl from his past. [Written by MAL Rewrite]",Wo Shi Jiang Xiaobai,I'm Joybo,ONA
36782,2017-06-15,2017-11-30,2 min ,5,"['Sci-Fi', 'Music']",9607,,7274,PG-13 - Teens 13 or older,6.17,241,Original,Finished Airing,[],Extra music videos of Kakuchou Shoujo-kei Trinary with unique footage. Each one focuses on a single heroine who also sings the featured song.,Kakuchou Shoujo-kei Trinary: Ex.MV,Augmented Reality Girls Trinary: Ex.MV,Music
36784,2018-01-05,2018-03-23,4 min ,12,"['Slice of Life', 'Comedy']",5758,Winter 2018,6511,G - All Ages,6.34,2179,Original,Finished Airing,"[{'mal_id': 1265, 'name': 'Tomovies'}]","The story centers around the cheerful calico Tapio Chatorazawa and the pessimistic Russian blue Kuehiko Roshihara. The two study in the same college, and also work together on various odd jobs. (Source: ANN)",Hataraku Onii-san!,Working Buddies!,TV
36790,2016-02-18,2016-04-21,15 min ,10,['Fantasy'],9078,,4092,PG-13 - Teens 13 or older,6.87,655,Novel,Finished Airing,"[{'mal_id': 1325, 'name': 'Haoliners Animation League'}]","Qin Lie have to guard Tang Siqi, regardless of the differences between them, and Liang Shanyan, while the strange powers coursing through his veins are beginning to slowly awaken. When Qin Lie vows to protect the instrument of sovereign, at the same time, seven Evil Clan's Lords are appearing on the field. While the most powerful secret weapon is emerging from the altar, the enemy intend to seize Qin Lie's life...",Ling Yu 2nd Season,,ONA
36791,2016-07-21,2016-10-06,15 min ,12,['Fantasy'],9531,,4764,PG-13 - Teens 13 or older,6.71,427,Novel,Finished Airing,"[{'mal_id': 1325, 'name': 'Haoliners Animation League'}]","Qin Lie has pulled up twelve spiritual columns, but the war between the Evil Clan and many tribues is imminent. However, at the most critical moment, the appearance of Li Mu in Tianjian Mountain prevented things from going in the worst direction.",Ling Yu 3rd Season,,ONA
36793,2018-04-04,2018-06-20,22 min ,12,"['Romance', 'School', 'Shoujo']",736,Spring 2018,4524,PG-13 - Teens 13 or older,6.76,80419,Manga,Finished Airing,"[{'mal_id': 346, 'name': 'Hoods Entertainment'}]","For Hikari Tsutsui, life within the two-dimensional realm is much simpler. Socially inept and awkward, he immerses himself in video games and anime, only to be relentlessly ridiculed and ostracized by his classmates. Sharing his misery is Yuuto Itou, his only friend, who wears cat ears and is equally obsessed with the world of games. After being forced to clean the pool as punishment for arriving late, Tsutsui meets Iroha Igarashi, but he attempts to steer clear of her, as her notoriety precedes her. Brazenly blunt, loathed by female classmates, and infamous for messing around with boys, Tsutsui believes that getting involved with her would cause nothing but problems. 3D Kanojo: Real Girl is a story revolving around these two outcasts—a boy full of emotions he has never experienced before, struggling to lay them bare, and a girl who strives to break him out of his shell. [Written by MAL Rewrite]",3D Kanojo: Real Girl,Real Girl,TV
36797,2018-01-09,2018-03-27,8 min ,12,"['Comedy', 'Fantasy']",8106,Winter 2018,8226,PG - Children,5.91,669,Original,Finished Airing,"[{'mal_id': 884, 'name': 'Strawberry Meets Pictures'}]","In the series, Light and Yomi are spending their daily lives happily playing video games. One night when everyone else is asleep, Light receives an invitation from Alpha, a messenger for someone named King. Light and Yomi are then sucked into another world, where they must undertake a quest to rescue Princess Melody from the demon lord. Light thinks this must be his destiny, while Yomi thinks it's kind of annoying. They form a party with Alpha to start their quest. Alpha as it turns out is an AI robot, and he has a program that allows them to raise their levels while slowly continuing their adventure. (Source: ANN)",gdMen,gdgd men's Party,TV
36800,2018-04-07,2018-06-23,23 min ,12,"['Slice of Life', 'Comedy', 'School', 'Shounen']",3041,Spring 2018,2986,PG-13 - Teens 13 or older,7.14,9205,Manga,Finished Airing,"[{'mal_id': 7, 'name': 'J.C.Staff'}]",Second season of Amanchu!.,Amanchu! Advance,,TV
36816,2018-05-18,,1 hr 41 min,1,"['Action', 'Adventure', 'Sci-Fi']",3019,,4619,R - 17+ (violence & profanity),6.74,14234,Original,Finished Airing,"[{'mal_id': 1023, 'name': 'Polygon Pictures'}]","By the advent of the 21st century, much of humanity was dead, having been trampled over by a new master, Godzilla. A select few among mankind took to the stars in a spacefaring vessel called the Aratrum in search of ""the promised land,"" the planet Tau-e that could sustain human life. But the migration plan fails, and the remnants of the human race decide to return to Earth. But the distortions in space-time and the distance traveled means that mankind is returning to a completely changed Earth some 20,000 years later. The returnees, led by hero Haruo, prepare to take the fight to Godzilla based on a strategy that has been 20 years in the making. Carried out with the help of two alien species, the Exif and the Bilusaludo, the humans succeed in defeating Godzilla in a costly battle to the death. But the victory is short-lived. Rising from the depths of the planet is a new breed of monster, dubbed ""Godzilla Earth."" Evolving for 20,000 years, the creature stands 300 meters high, weighs over 100,000 tons and wields such overwhelmingly destructive power that Haruo and company have no choice but to run for their lives. Coming to Haruo's rescue, however, is Miana, a member of an aboriginal tribe called the Houtua. They are the first humanoid people the returnees have encountered. Could they descend from humans? ""Our tribal god was destroyed by Godzilla. All that we have left are these eggs. Anyone who has tried to fight or resist him has been drowned in fire,"" the tribespeople say to Haruo, who responds with: ""This is our last hope of recovering our home."" Meanwhile, Bilusaludo commander, Galu-gu is elated to discover that the Houtua tribe's arrowheads are made of a nanometal or a self-sustaining metal. It had been developed in the 21st century as an ""anti-Godzilla"" killer weapon deployed at their decisive battle fought at the foot of Mt. Fuji, but had been destroyed before it could be activated in the form of a ""Mecha-Godzilla."" The nanometal was its base substance, and proof that the manufacturing plant can still be used. (Source: Official site)",Godzilla 2: Kessen Kidou Zoushoku Toshi,Godzilla: City on the Edge of Battle,Movie
36817,2018-07-05,2018-09-20,23 min ,12,"['Comedy', 'Slice of Life']",1492,Summer 2018,3954,PG-13 - Teens 13 or older,6.9,28830,4-koma manga,Finished Airing,"[{'mal_id': 300, 'name': 'Silver Link.'}]","Shiina Aki is constantly being treated like a girl due to his feminine looks so he decides to move to Tokyo to attend middle school in an attempt to change himself. However, what awaits him in his new home, Sunohara-sou, is the kind-hearted caretaker, Sunohara Ayaka. Along with the three female members of Aki's new middle school's student council, Yukimoto Yuzu, Yamanashi Sumire, and Kazami Yuri. And so begins Aki's new life in Tokyo living with four girls.",Sunohara-sou no Kanrinin-san,Miss caretaker of Sunohara-sou,TV
